Final layout Boroowa 2019 field trial - TOS2,,,,,,,,,,
ID,ENTRY,ROW,RANGE,REP,Box,Order,,field packet stem id,Tanya's Mistake replacement,
Vision,188,9,1,1,1,13,3,ST50PKT0YYMR,,
Vision,188,39,4,2,3,58,4,ST50PKT0YYMS,,
Warrior CL,189,2,3,1,2,3,3,ST50PKT0YYN2,,
Warrior CL,189,55,4,2,3,82,4,ST50PKT0YYN3,,
WEIHENSTEPHANER,190,23,2,1,3,32,3,ST50PKT0YYND,,
WEIHENSTEPHANER,190,42,4,2,2,64,4,ST50PKT0YYNF,,
WESBARKER,191,11,2,1,3,14,3,ST50PKT0YZDX,,
WESBARKER,191,12,5,2,4,17,4,ST50PKT0YZDY,,
WESBELL,192,5,3,1,1,9,3,ST50PKT0YZF7,,
WESBELL,192,35,4,2,3,52,4,ST50PKT0YZF8,,
WESBROOK,193,18,6,2,2,30,4,ST50PKT0YYNR,,
WESBROOK,193,67,3,1,3,99,3,ST50PKT0YYNQ,,
Wesreo,194,7,3,1,3,9,3,ST50PKT0YYP1,,
Wesreo,194,65,6,2,1,102,4,ST50PKT0YYP2,,
WESROONA,195,8,6,2,4,12,4,ST50PKT0YZFL,,
WESROONA,195,34,3,1,2,51,3,ST50PKT0YZFK,,
Westar,196,1,2,1,1,2,3,ST50PKT0YZFW,,
Westar,196,57,6,2,1,90,4,ST50PKT0YZFX,,
WESTAR DH,197,32,1,1,4,43,3,ST50PKT0YYPC,,
WESTAR DH,197,60,5,2,4,89,4,ST50PKT0YYPD,,
Wesway,198,31,1,1,3,43,3,ST50PKT0YYPP,,
Wesway,198,52,4,2,4,76,4,ST50PKT0YYPQ,,
WILLI,199,20,4,2,4,28,4,ST50PKT0YZG7,,
WILLI,199,64,2,1,4,92,3,ST50PKT0YZG6,,
Xiangyou 15,200,20,3,1,4,27,3,ST50PKT0YYQ0,Replaced Xiangyou 15 with Ragged Jack (2 envelops).  Sent 6 to Gatton,BnASSYST-209
Xiangyou 15,200,38,6,2,2,60,4,ST50PKT0YYQ1,,Forgotten to replaced with Ragge Jack in TOS1 
YICKADEE,201,58,6,2,2,90,4,ST50PKT0YYQC,,
YICKADEE,201,62,1,1,2,91,3,ST50PKT0YYQB,,
Zephyr (DW-Zephyr),202,17,4,2,1,28,4,ST50PKT0YYQP,,
Zephyr (DW-Zephyr),202,57,1,1,1,85,3,ST50PKT0YYQN,,
Zhongshu-ang N0.4,203,15,2,1,3,20,3,ST50PKT0YYQZ,,
Zhongshu-ang N0.4,203,36,4,2,4,52,4,ST50PKT0YYR0,,
ZIRCON,204,32,5,2,4,47,4,ST50PKT0YYRB,,
ZIRCON,204,63,1,1,3,91,3,ST50PKT0YYR9,,
