Final layout Boroowa 2019 field trial - TOS2,,,,,,,,,,
ID,ENTRY,ROW,RANGE,REP,Box,Order,,field packet stem id,Tanya's Mistake replacement,
Cabernet,42,67,4,2,3,100,4,ST50PKT0YWZH,,
Cabriolet,43,21,5,2,1,35,4,ST50PKT0Z1PB,,
Cabriolet,43,40,3,1,4,57,3,ST50PKT0Z1P9,,
CANARD,44,47,3,1,3,69,3,ST50PKT0YWZS,,
CANARD,44,48,6,2,4,72,4,ST50PKT0YWZT,,
CANBERRA x COURAGE DH LINE,45,24,2,1,4,32,3,ST50PKT0YX03,,
CANBERRA x COURAGE DH LINE,45,49,6,2,1,78,4,ST50PKT0YX04,,
Capitol,46,19,4,2,3,28,4,ST50PKT0YX0G,Only sent 1 Rep to BoorowaTos2.  3 Envelopes to Gatton,Forgotten to replace with GLOBAL in TOS1
Capitol,46,44,2,1,4,62,3,ST50PKT0YX0F,Replaced with IB1487 (envelope 2),
Castille,47,38,4,2,2,58,4,ST50PKT0YYYF,Only sent 1 Rep to BoorowaTos2.  3 Envelopes to Gatton,Forgotten to replace with Taisetsu in TOS1
Castille,47,40,2,1,4,56,3,ST50PKT0YYYD,Replaced with IB1487 (envelope 3),
Catana,48,27,2,1,3,38,3,ST50PKT0YX0R,,
Catana,48,66,5,2,2,101,4,ST50PKT0YX0S,,
CBWA-Tribune,49,7,1,1,3,7,3,ST50PKT0YX12,,
CBWA-Tribune,49,45,5,2,1,71,4,ST50PKT0YX13,,
CBWA-Trigold,50,33,4,2,1,52,4,ST50PKT0YYYR,,
CBWA-Trigold,50,58,2,1,2,86,3,ST50PKT0YYYQ,,
Ceska Krajova,51,28,6,2,4,42,4,ST50PKT0YX1F,,
Ceska Krajova,51,39,2,1,3,56,3,ST50PKT0YX1D,,
CHARLTON,52,9,6,2,1,18,4,ST50PKT0YX1R,,
CHARLTON,52,38,1,1,2,55,3,ST50PKT0YX1Q,,
CHINA C,53,9,2,1,1,14,3,ST50PKT0YX21,,
CHINA C,53,48,5,2,4,71,4,ST50PKT0YX22,,
CLANCY,54,9,5,2,1,17,4,ST50PKT0YX2Q,,
CLANCY,54,10,1,1,2,13,3,ST50PKT0YX2P,,
Cobbler,55,63,4,2,3,94,4,ST50PKT0YX31,,
Cobbler,55,64,1,1,4,91,3,ST50PKT0YX30,,
Coriander,56,61,1,1,1,91,3,ST50PKT0YX3B,,
Coriander,56,62,5,2,2,95,4,ST50PKT0YX3C,,
CRESOR,57,17,5,2,1,29,4,ST50PKT0YX3P,,
CRESOR,57,62,2,1,2,92,3,ST50PKT0YX3N,,
CRESUS,58,10,6,2,2,18,4,ST50PKT0YX40,,
CRESUS,58,59,1,1,3,85,3,ST50PKT0YX3Z,,
CSR18,59,37,5,2,1,59,4,ST50PKT0YX4B,,
CSR18,59,38,2,1,2,56,3,ST50PKT0YX49,,
CUBS ROOT,60,52,6,2,4,78,4,ST50PKT0YX4N,,
CUBS ROOT,60,53,2,1,1,80,3,ST50PKT0YX4M,,
CYCLONE,61,13,5,2,1,23,4,ST50PKT0YYZ2,,
CYCLONE,61,51,1,1,3,73,3,ST50PKT0YYZ1,,
DELTA,62,9,3,1,1,15,3,ST50PKT0YX4Y,,
DELTA,62,50,6,2,2,78,4,ST50PKT0YX4Z,,
DERBY,63,2,1,1,2,1,3,ST50PKT0YX58,,
DERBY,63,49,5,2,1,77,4,ST50PKT0YX59,,
Diamond,64,3,4,2,3,4,4,ST50PKT0YYZD,,
Diamond,64,59,3,1,3,87,3,ST50PKT0YYZC,,
Dimension,65,25,1,1,1,37,3,ST50PKT0YYZP,,
Dimension,65,37,6,2,1,60,4,ST50PKT0YYZQ,,
Ding110,66,34,5,2,2,53,4,ST50PKT0YX5Y,,
Ding110,66,35,1,1,3,49,3,ST50PKT0YX5X,,
Doral,67,29,4,2,1,46,4,ST50PKT0YX6L,,
Doral,67,30,1,1,2,43,3,ST50PKT0YX6K,,
Drakkar,68,10,4,2,2,16,4,ST50PKT0YZ01,,
Drakkar,68,43,3,1,3,63,3,ST50PKT0YZ00,,
DRUM,69,12,1,1,4,13,3,ST50PKT0YZ0B,,
